Gene	annotation	synonym
b1575	Qin prophage%3B cell division inhibition protein DicB	dicB
b1576	Qin prophage%3B lysis protein	ydfD
b1577	Qin prophage%3B protein YdfE	ydfE
b1578	Qin prophage%3B putative transposase	insD-7
b1579	Qin prophage%3B putative defective integrase	intQ
b4534	protein YnfP	ynfP
b1580	putative zinc-binding dehydrogenase RspB	rspB
b1581	mandelate racemase/muconate lactonizing enzyme family protein RspA	rspA
b1582	conserved inner membrane protein YnfA	ynfA
b1583	DUF1283 domain-containing protein YnfB	ynfB
b1584	spermidine N-acetyltransferase	speG
b1585	UPF0257 family lipoprotein YnfC	ynfC
b1586	DUF1161 domain-containing protein YnfD	ynfD
b1587	putative selenate reductase YnfE	ynfE
b1588	putative selenate reductase YnfF	ynfF
b1589	putative oxidoreductase YnfG	ynfG
b1590	putative menaquinol dehydrogenase	ynfH
b1591	redox enzyme maturation protein DmsD	dmsD
b1592	putative chloride:H(+) antiporter ClcB	clcB
b1593	putative dethiobiotin synthetase	ynfK
b1594	DNA-binding transcriptional repressor Mlc	mlc
b1595	putative DNA-binding transcriptional regulator	ynfL
b1596	putative transporter YnfM	ynfM
b1597	acid shock protein	asr
b4601	uncharacterized protein YdgU	ydgU
b1598	putative serine protease YdgD	ydgD
b1599	multidrug/spermidine efflux pump membrane subunit MdtI	mdtI
b1600	multidrug/spermidine efflux pump membrane subunit MdtJ	mdtJ
b1601	autoinducer 2 exporter	tqsA
b1602	pyridine nucleotide transhydrogenase subunit beta	pntB
b1603	pyridine nucleotide transhydrogenase subunit alpha	pntA
b1604	DUF1471 domain-containing protein YdgH	ydgH
b1605	putative arginine:ornithine antiporter	ydgI
b1606	dihydromonapterin reductase	folM
b1607	GlpM family protein	ydgC
b1608	DNA-binding transcriptional regulator RstA	rstA
b1609	sensory histidine kinase RstB	rstB
b1610	DNA replication terminus site-binding protein	tus
b1611	fumarase C	fumC
b1612	fumarase A	fumA
b1613	mannose-6-phosphate isomerase	manA
b1614	conserved protein YdgA	ydgA
b1615	outer membrane porin family protein	uidC
b1616	glucuronide:H(+) symporter	uidB
b1617	beta-glucuronidase	uidA
b1618	DNA-binding transcriptional repressor UidR	uidR
b1619	7-alpha-hydroxysteroid dehydrogenase	hdhA
b1620	DNA-binding transcriptional repressor MalI	malI
b1621	PTS enzyme IIBC component MalX	malX
b1622	negative regulator of MalT activity/cystathionine beta-lyase	malY
b1623	adenosine deaminase	add
b1624	putative oxidoreductase YdgJ	ydgJ
b4409	beta-lactam resistance protein	blr
b1625	H-NS- and StpA-binding protein	cnu
b1626	conserved inner membrane protein YdgK	ydgK
b1627	SoxR [2Fe-2S] reducing system protein RsxA	rsxA
b1628	SoxR [2Fe-2S] reducing system protein RsxB	rsxB
b1629	SoxR [2Fe-2S] reducing system protein RsxC	rsxC
b1630	SoxR [2Fe-2S] reducing system protein RsxD	rsxD
b1631	SoxR [2Fe-2S] reducing system protein RsxG	rsxG
b1632	SoxR [2Fe-2S] reducing system protein RsxE	rsxE
b1633	endonuclease III	nth
b1634	dipeptide/tripeptide:H(+) symporter DtpA	dtpA
b1635	glutathione S-transferase GstA	gstA
b1636	pyridoxal kinase 2	pdxY
b1637	tyrosine--tRNA ligase	tyrS
b1638	pyridoxal 5-phosphate synthase	pdxH
b1639	inhibitor of c-type lysozyme%2C putative lipoprotein	mliC
b1640	anhydro-N-acetylmuramic acid kinase	anmK
b1641	outer membrane lipoprotein SlyB	slyB
b1642	DNA-binding transcriptional dual regulator SlyA	slyA
b1643	DUF1656 domain-containing protein YdhI	ydhI
b1644	putative membrane fusion protein YdhJ	ydhJ
b1645	putative transporter YdhK	ydhK
b1646	superoxide dismutase (Cu-Zn)	sodC
b1647	putative oxidoreductase	ydhF
b1648	conserved protein YdhL	ydhL
b1649	DNA-binding transcriptional repressor NemR	nemR
b1650	N-ethylmaleimide reductase	nemA
b1651	glyoxalase I	gloA
b1652	RNase T	rnt
b1653	putative ATP-dependent helicase Lhr	lhr
b1654	glutaredoxin 4	grxD
b1655	peptidoglycan DD-endopeptidase MepH	mepH
b1656	superoxide dismutase (Fe)	sodB
b1657	putative transporter YdhP	ydhP
b4602	stress response membrane protein YnhF	ynhF
b1658	DNA-binding transcriptional repressor PurR	purR
b1659	putative LysR family DNA-binding transcriptional regulator YdhB	ydhB
b1660	putative transporter YdhC	ydhC
b1661	cyclopropane fatty acyl phospholipid synthase	cfa
b1662	riboflavin synthase	ribC
b1663	multidrug efflux pump MdtK	mdtK
b1664	adhesin-like autotransporter YdhQ	ydhQ
b1667	putative monooxygenase YdhR	ydhR
b1668	FAD/NAD(P) binding domain-containing protein YdhS	ydhS
b1669	conserved protein YdhT	ydhT
b1670	putative cytochrome YdhU	ydhU
b1671	putative 4Fe-4S ferredoxin-type protein	ydhX
b1672	protein YdhW	ydhW
b1673	putative oxidoreductase	ydhV
b1674	putative 4Fe-4S ferredoxin-type protein	ydhY
b1675	fumarase D	fumD
b1676	pyruvate kinase I	pykF
b1677	murein lipoprotein	lpp
b1678	L%2CD-transpeptidase LdtE	ldtE
b1679	sulfur acceptor for SufS cysteine desulfurase	sufE
b1680	L-cysteine desulfurase	sufS
b1681	Fe-S cluster scaffold complex subunit SufD	sufD
b1682	Fe-S cluster scaffold complex subunit SufC	sufC
b1683	Fe-S cluster scaffold complex subunit SufB	sufB
b1684	iron-sulfur cluster insertion protein SufA	sufA
b1685	protein YdiH	ydiH
b1686	1%2C4-dihydroxy-2-naphthoyl-CoA hydrolase	menI
b1687	putative FAD-linked oxidoreductase	ydiJ
b1688	putative transporter YdiK	ydiK
b1689	DUF1870 domain-containing protein YdiL	ydiL
b1690	putative exporter YdiM	ydiM
b1691	putative transporter YdiN	ydiN
b1692	shikimate dehydrogenase/quinate dehydrogenase	ydiB
b1693	3-dehydroquinate dehydratase	aroD
b1694	putative acetate-CoA transferase	ydiF
b1695	putative acyl-CoA dehydrogenase	ydiO
b1696	putative DNA-binding transcriptional regulator YdiP	ydiP
b1697	putative electron transfer flavoprotein subunit YdiQ	ydiQ
b1698	putative electron transfer flavoprotein subunit YdiR	ydiR
b1699	putative oxidoreductase with FAD/NAD(P)-binding domain	ydiS
b1700	putative 4Fe-4S ferredoxin-type protein	ydiT
b1701	short chain acyl-CoA synthetase	fadK
b1702	phosphoenolpyruvate synthetase	ppsA
b1703	posphoenolpyruvate synthetase regulatory protein	ppsR
b1704	3-deoxy-7-phosphoheptulonate synthase%2C Trp-sensitive	aroH
b1705	PF10636 family protein YdiE	ydiE
b1706	UPF0061 family protein YdiU	ydiU
b1707	anti-FlhDC factor	ydiV
b1708	NlpC/P60 family lipoprotein NlpC	nlpC
b1709	vitamin B12 ABC transporter ATP binding subunit	btuD
b1710	thioredoxin/glutathione peroxidase	btuE
b1711	vitamin B12 ABC transporter membrane subunit	btuC
b1712	integration host factor subunit alpha	ihfA
b1713	phenylalanine--tRNA ligase subunit beta	pheT
b1714	phenylalanine--tRNA ligase subunit alpha	pheS
b1715	pheST-ihfA operon leader peptide	pheM
b1716	50S ribosomal subunit protein L20	rplT
b1717	50S ribosomal subunit protein L35	rpmI
b1718	translation initiation factor IF-3	infC
b1719	threonine--tRNA ligase	thrS
b4494	putative ankyrin repeat protein B%2C N-terminal fragment	arpB
b4535	uncharacterized protein YniD	yniD
b1722	acid-inducible putative outer membrane protein YdiY	ydiY
b1723	6-phosphofructokinase II	pfkB
b1724	protein YdiZ	ydiZ
b1725	putative kinase YniA	yniA
b1726	uncharacterized protein YniB	yniB
b1727	hexitol phosphatase B	hxpB
b1728	putative inner membrane protein regulated by LexA	ydjM
b1729	cystine/sulfocysteine:cation symporter	tcyP
b1730	protein YdjO	ydjO
b1731	cell division modulator	cedA
b1732	catalase II	katE
b1733	chitin disaccharide deacetylase	chbG
b1734	monoacetylchitobiose-6-phosphate hydrolase	chbF
b1735	DNA-binding transcriptional dual regulator ChbR	chbR
b1736	N%2CN'-diacetylchitobiose-specific PTS enzyme IIA component	chbA
b1737	N%2CN'-diacetylchitobiose-specific PTS enzyme IIC component	chbC
b1738	N%2CN'-diacetylchitobiose-specific PTS enzyme IIB component	chbB
b1739	osmotically-inducible lipoprotein OsmE	osmE
b1740	NAD synthetase%2C NH3-dependent	nadE
b1741	endonuclease of nucleotide excision repair	cho
b1742	HutD family protein Ves	ves
b1743	ATP-independent periplasmic chaperone	spy
b1744	succinylglutamate desuccinylase	astE
b1745	N-succinylarginine dihydrolase	astB
b1746	aldehyde dehydrogenase	astD
b1747	arginine N-succinyltransferase	astA
b1748	succinylornithine transaminase	astC
b1749	exodeoxyribonuclease III	xthA
b1750	DedA family protein YdjX	ydjX
b1751	4Fe-4S ferredoxin-type domain-containing protein YdjY	ydjY
b1752	DedA family protein YdjZ	ydjZ
b1753	AhpD-like domain-containing protein YnjA	ynjA
b1754	putative ABC transporter periplasmic binding protein YnjB	ynjB
b1755	putative ABC transporter membrane subunit YnjC	ynjC
b1756	putative ABC transporter ATP-binding protein YnjD	ynjD
b1757	molybdopterin synthase sulfurtransferase	ynjE
b1758	putative phosphatidyl transferase%2C inner membrane protein	ynjF
b1759	5-hydroxy-CTP diphosphatase	nudG
b1760	DUF1496 domain-containing protein YnjH	ynjH
b1761	glutamate dehydrogenase	gdhA
b1762	DUF1266 domain-containing protein YnjI	ynjI
b1763	DNA topoisomerase III	topB
b1764	selenide%2C water dikinase	selD
b1765	putative oxidoreductase	ydjA
b1766	protease IV%2C a signal peptide peptidase	sppA
b1767	L-asparaginase 1	ansA
b1768	nicotinamidase	pncA
b1769	putative transporter YdjE	ydjE
b1770	putative DNA-binding transcriptional regulator YdjF	ydjF
b1771	NADH-dependent methylglyoxal reductase	ydjG
b1772	putative sugar kinase YdjH	ydjH
b1773	putative aldolase YdjI	ydjI
b1774	putative zinc-binding dehydrogenase YdjJ	ydjJ
b1775	putative transporter YdjK	ydjK
b1776	putative zinc-binding dehydrogenase YdjL	ydjL
b1777	conserved protein YeaC	yeaC
b1778	methionine sulfoxide reductase B	msrB
b1779	glyceraldehyde-3-phosphate dehydrogenase A	gapA
b1780	putative aldose 1-epimerase YeaD	yeaD
b1781	methylglyoxal reductase YeaE	yeaE
b1782	scaffolding protein that interacts with murein polymerase and murein hydrolase	mipA
b1783	protein kinase YeaG	yeaG
b1784	DUF444 domain-containing protein YeaH	yeaH
b1785	putative c-di-GMP binding protein CdgI	cdgI
b1786	putative diguanylate cyclase DgcJ	dgcJ
b1787	mischarged aminoacyl-tRNA deacylase	yeaK
b1788	protein YoaI	yoaI
b1789	conserved inner membrane protein YeaL	yeaL
b1790	DNA-binding transcriptional repressor NimR	nimR
b1791	2-nitroimidazole exporter	nimT
b1792	conserved protein YeaO	yeaO
b1793	DUF333 domain-containing lipoprotein YoaF	yoaF
b1794	diguanylate cyclase DgcP	dgcP
b4676	putative membrane protein YoaK	yoaK
b4675	uncharacterized protein YoaJ	yoaJ
b1795	PF04226 family protein YeaQ	yeaQ
b1796	DUF1869 domain-containing protein YoaG	yoaG
b1797	DUF1971 domain-containing protein YeaR	yeaR
b1798	leucine exporter	leuE
b1799	DNA-binding transcriptional regulator DmlR	dmlR
b1800	D-malate/3-isopropylmalate dehydrogenase (decarboxylating)	dmlA
b1801	putative transporter YeaV	yeaV
b1802	carnitine monooxygenase subunit YeaW	yeaW
b1803	carnitine monooxygenase subunit YeaX	yeaX
b1804	RNase D	rnd
b1805	fatty acyl-CoA synthetase	fadD
b1806	Slp family lipoprotein YeaY	yeaY
b1807	N(6)-L-threonylcarbamoyladenine synthase%2C TsaB subunit	tsaB
b1808	putative 5' to 3' DNA helicase implicated in DNA repair	yoaA
b1809	RutC family protein YoaB	yoaB
b1810	DUF1889 domain-containing protein YoaC	yoaC
b1811	UFP0181 family protein YoaH	yoaH
b1812	aminodeoxychorismate synthase subunit 1	pabB
b1813	putative NUDIX hydrolase with low 3-phosphohydroxypyruvate phosphatase activity	nudL
b1814	L-serine deaminase I	sdaA
b1815	putative c-di-GMP phosphodiesterase PdeD	pdeD
b1816	putative inner membrane protein	yoaE
b4751	protein YoaL	yoaL
b1817	mannose-specific PTS enzyme IIAB component	manX
b1818	mannose-specific PTS enzyme IIC component	manY
b1819	mannose-specific PTS enzyme IID component	manZ
b1820	conserved inner membrane protein YobD	yobD
b1821	Mn(2(+)) exporter	mntP
b1822	23S rRNA m(1)G745 methyltransferase	rlmA
b1823	stress protein%2C member of the CspA family	cspC
b1824	DUF2527 domain-containing protein YobF	yobF
b1825	uncharacterized protein YebO	yebO
b1826	PhoQ kinase inhibitor	mgrB
b4536	protein YobH	yobH
b1827	DNA-binding transcriptional repressor KdgR	kdgR
b1828	putative transporter YebQ	yebQ
b1829	zinc dependent endoprotease	htpX
b1830	tail-specific protease	prc
b1831	RNA chaperone ProQ	proQ
b1832	free methionine-(R)-sulfoxide reductase	msrC
b1833	intermembrane transport protein YebS	yebS
b1834	intermembrane transport protein YebT	yebT
b1835	16S rRNA m(5)C1407 methyltransferase	rsmF
b1836	protein YebV	yebV
b1837	protein YebW	yebW
b1838	phosphoprotein phosphatase 1	pphA
b1839	DUF2511 domain-containing protein YebY	yebY
b1840	putative inner membrane protein	yebZ
b1841	CopC domain-containing protein	yobA
b1842	DNA polymerase III subunit theta	holE
b1843	putative carbon-nitrogen hydrolase family protein YobB	yobB
b1844	exonuclease X	exoX
b1845	oligopeptidase B	ptrB
b1846	conserved inner membrane protein YebE	yebE
b1847	secreted protein YebF	yebF
b1848	DNA damage-inducible protein YebG	yebG
b1849	phosphoribosylglycinamide formyltransferase 2	purT
b1850	KHG/KDPG aldolase	eda
b1851	phosphogluconate dehydratase	edd
b1852	NADP(+)-dependent glucose-6-phosphate dehydrogenase	zwf
b1853	DNA-binding transcriptional repressor YebK	yebK
b1854	pyruvate kinase II	pykA
b1855	myristoyl-acyl carrier protein-dependent acyltransferase	lpxM
b1856	peptidoglycan DD-endopeptidase MepM	mepM
b1857	Zn(2(+)) ABC transporter periplasmic binding protein	znuA
b1858	Zn(2(+)) ABC transporter ATP binding subunit	znuC
b1859	Zn(2(+)) ABC transporter membrane subunit	znuB
b1860	Holliday junction branch migration complex subunit RuvB	ruvB
b1861	Holliday junction branch migration complex subunit RuvA	ruvA
b4677	uncharacterized protein YobI	yobI
b1862	putative papain-like amidase YebB	yebB
b1863	crossover junction endodeoxyribonuclease RuvC	ruvC
b1864	putative transcriptional regulator YebC	yebC
b1865	dihydroneopterin triphosphate diphosphatase	nudB
b1866	aspartate--tRNA ligase	aspS
b1867	putative hydrolase	yecD
b1868	DUF72 domain-containing protein YecE	yecE
b1869	putative inner membrane protein	yecN
b1870	carboxy-S-adenosyl-L-methionine synthase	cmoA
b1871	tRNA U34 carboxymethyltransferase	cmoB
b1872	trimethylamine N-oxide reductase 2	torZ
b1873	cytochrome c quinol dehydrogenase TorY	torY
b1874	protein CutC	cutC
b1875	putative metal-binding enzyme YecM	yecM
b1876	arginine--tRNA ligase	argS
b1877	protein YecT	yecT
b1878	flagellar protein	flhE
b1879	flagellar biosynthesis protein FlhA	flhA
b1880	flagellar biosynthesis protein FlhB	flhB
b1881	chemotaxis protein CheZ	cheZ
b1882	chemotaxis protein CheY	cheY
b1883	protein-glutamate methylesterase/protein glutamine deamidase	cheB
b1884	chemotaxis protein methyltransferase	cheR
b1885	methyl-accepting chemotaxis protein Tap	tap
b1886	methyl-accepting chemotaxis protein Tar	tar
b1887	chemotaxis protein CheW	cheW
b1888	chemotaxis protein CheA	cheA
b1889	motility protein B	motB
b1890	motility protein A	motA
b1891	DNA-binding transcriptional dual regulator FlhC	flhC
b1892	DNA-binding transcriptional dual regulator FlhD	flhD
b1893	IS1 protein InsB	insB-5
b1894	IS1 protein InsA	insA-5
b1895	universal stress protein C	uspC
b1896	trehalose-6-phosphate synthase	otsA
b1897	trehalose-6-phosphate phosphatase	otsB
b4460	arabinose ABC transporter membrane subunit	araH
b1900	arabinose ABC transporter ATP binding subunit	araG
b1901	arabinose ABC transporter periplasmic binding protein	araF
b1902	putative ferritin-like protein	ftnB
b4537	DUF2766 domain-containing protein YecJ	yecJ
b4663	uncharacterized protein AzuC	azuC
b1904	lipoprotein YecR	yecR
b1905	ferritin iron storage protein	ftnA
b1906	DUF2492 domain-containing protein YecH	yecH
b1907	tyrosine:H(+) symporter	tyrP
b1908	UPF0149 family protein YecA	yecA
b1912	phosphatidylglycerophosphate synthase	pgsA
b1913	excision nuclease subunit C	uvrC
b1914	DNA-binding transcriptional activator UvrY	uvrY
b4752	protein YecU	yecU
b1915	DUF2594 domain-containing protein YecF	yecF
b1916	DNA-binding transcriptional dual regulator SdiA	sdiA
b1917	cystine ABC transporter ATP binding subunit	tcyN
b1918	cystine ABC transporter membrane subunit	tcyL
b1919	D-cysteine desulfhydrase	dcyD
b1920	cystine ABC transporter periplasmic binding protein	tcyJ
b1921	DNA-binding transcriptional regulator FliZ	fliZ
b1922	RNA polymerase%2C sigma 28 (sigma F) factor	fliA
b1923	flagellar filament structural protein	fliC
b1924	flagellar filament capping protein	fliD
b1925	flagellar biosynthesis protein FliS	fliS
b1926	flagellar biosynthesis protein FliT	fliT
b1927	alpha-amylase	amyA
b1928	lipoprotein YedD	yedD
b1929	putative selenium transporter YedE	yedE
b1930	putative sulfurtransferase YedF	yedF
b1931	putative SOS response-associated peptidase YedK	yedK
b1932	putative acetyltransferase YedL	yedL
b4495	putative type III secreted effector%2C N-terminal fragment	yedN
b1936	putative defective phage integrase	intG
b1937	flagellar basal-body protein FliE	fliE
b1938	flagellar basal-body MS-ring and collar protein	fliF
b1939	flagellar motor switch protein FliG	fliG
b1940	flagellar biosynthesis protein FliH	fliH
b1941	flagellum-specific ATP synthase FliI	fliI
b1942	flagellar biosynthesis protein FliJ	fliJ
b1943	flagellar hook-length control protein	fliK
b1944	flagellar protein FliL	fliL
b1945	flagellar motor switch protein FliM	fliM
b1946	flagellar motor switch protein FliN	fliN
b1947	flagellar biosynthesis protein FliO	fliO
b1948	flagellar biosynthesis protein FliP	fliP
b1949	flagellar biosynthesis protein FliQ	fliQ
b1950	flagellar biosynthesis protein FliR	fliR
b1951	DNA-binding transcriptional activator RcsA	rcsA
b1952	protein DsrB	dsrB
b1953	stress-induced protein	yodD
b1955	putative mannosyl-3-phosphoglycerate phosphatase	yedP
b1956	putative diguanylate cyclase DgcQ	dgcQ
b1957	protein YodC	yodC
b1958	conserved inner membrane protein YedI	yedI
b1959	putative transporter YedA	yedA
b1960	DNA mismatch endonuclease of the very short patch (VSP) mismatch repair pathway	vsr
b1961	DNA-cytosine methyltransferase	dcm
b1962	putative HD superfamily phosphohydrolase YedJ	yedJ
b1963	putative inner membrane protein	yedR
b4496	putative outer membrane protein YedS%2C N-terminal fragment	yedS
b1967	protein/nucleic acid deglycase 1	hchA
b1968	sensory histidine kinase HprS	hprS
b1969	DNA-binding transcriptional dual regulator HprR	hprR
b1970	hydroxyisourate hydrolase/transthyretin-related protein	yedX
b1971	periplasmic protein-L-methionine sulfoxide reductase catalytic subunit	msrP
b1972	periplasmic protein-L-methionine sulfoxide reductase heme binding subunit	msrQ
b1973	metal-binding protein ZinT	zinT
b1974	putative cytochrome	yodB
b1976	Mlc titration factor	mtfA
b1978	inverse autotransporter adhesin	yeeJ
b4497	putative glycosyltransferase%2C N-terminal fragment	yeeL
b1981	shikimate:H(+) symporter	shiA
b1982	AMP nucleosidase	amn
b1983	putative transcriptional regulator YeeN	yeeN
b1985	FMN/FAD exporter	yeeO
b1987	DNA-binding transcriptional activator Cbl	cbl
b1988	DNA-binding transcriptional dual regulator Nac	nac
b1990	L%2CD-transpeptidase ErfK	ldtA
b1991	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT
